#csv_version,1.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#measurement,"{""schema_version"":""1.0.0"",""appPlatform"":""desktop"",""appVersion"":""1.1.2"",""owner"":{""first_name"":""Sergei"",""last_name"":""Tsier""},""data"":{""id"":940,""name"":""tomates"",""measurement_type"":""take a smell"",""started_at"":""2022-05-25T10:05:15.781Z"",""stopped_at"":""2022-05-25T10:07:39.214Z"",""connection_type"":""bluetooth"",""measurement_size"":""12.9"",""measurement_duration"":143,""fan_state"":3,""comment"":null,""device_info"":{""id"":369,""mac_address"":""7C:87:CE:EF:A4:1C"",""serial_number"":""SI2147-00386"",""device_type_info"":{""id"":1,""name"":""Smell Inspector"",""version"":""B1""},""device_firmware_info"":{""id"":2,""name"":""SI-Firmware"",""version"":""2.1.0""},""detectors_info"":[{""id"":829,""detector_position"":""X1"",""detector"":{""id"":800,""batch_id"":""0000010"",""slot_id"":""06"",""production_detector_id"":""00189"",""detector_type"":{""id"":7,""name"":""Type1"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":897,""detector_position"":""X2"",""detector"":{""id"":868,""batch_id"":""0000011"",""slot_id"":""01"",""production_detector_id"":""00136"",""detector_type"":{""id"":8,""name"":""Type2"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":965,""detector_position"":""X3"",""detector"":{""id"":936,""batch_id"":""0000012"",""slot_id"":""03"",""production_detector_id"":""00150"",""detector_type"":{""id"":9,""name"":""Type3"",""lower_bound"":0,""upper_bound"":350000}}},{""id"":1033,""detector_position"":""X4"",""detector"":{""id"":1004,""batch_id"":""0000013"",""slot_id"":""01"",""production_detector_id"":""00108"",""detector_type"":{""id"":10,""name"":""Type4"",""lower_bound"":0,""upper_bound"":350000}}}]},""measurement_substance_info"":[{""substance_info"":{""id"":439,""category"":null,""is_public"":false,""name"":""Test"",""odor_name"":null,""taste_name"":null,""additional_information"":null,""parent_substance_id"":null,""parent_substance"":null},""concentration_value"":null,""concentration_unit"":null,""state"":null}],""measurement_events"":[],""measurement_setup_info"":null}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#fan_level,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#baseLevel|2022-05-25T10:05:20.180376Z,1123.48,1123.51,140886.25,141806.66,134251.64,844348.81,857284.00,881829.13,205783.97,190659.72,204632.09,118435.76,113804.85,114094.70,1123.57,1123.54,1605577.25,5191597.50,6886146.00,6726816.00,6119052.50,17311.08,17368.93,17490.18,40952.44,41138.77,41118.17,12464.77,12400.11,12466.18,1123.60,1123.56,1123.51,1123.54,22081.78,22229.35,22006.63,21904.34,21874.98,21843.10,6992.55,7009.77,7009.94,7033.85,7036.77,7016.74,1123.58,1123.55,1123.52,1123.55,28851.64,28747.13,28373.61,21565.76,21634.54,21667.91,207006.42,192076.31,209517.50,15296.28,15233.74,15277.71,1123.62,1123.55,39.57,29.62
#header:timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16,ch17,ch18,ch19,ch20,ch21,ch22,ch23,ch24,ch25,ch26,ch27,ch28,ch29,ch30,ch31,ch32,ch33,ch34,ch35,ch36,ch37,ch38,ch39,ch40,ch41,ch42,ch43,ch44,ch45,ch46,ch47,ch48,ch49,ch50,ch51,ch52,ch53,ch54,ch55,ch56,ch57,ch58,ch59,ch60,ch61,ch62,ch63,ch64,humidity,temperature
2022-05-25T10:05:20.180376Z,1123.48,1123.51,140886.25,141806.66,134251.64,844348.81,857284.00,881829.13,205783.97,190659.72,204632.09,118435.76,113804.85,114094.70,1123.57,1123.54,1605577.25,5191597.50,6886146.00,6726816.00,6119052.50,17311.08,17368.93,17490.18,40952.44,41138.77,41118.17,12464.77,12400.11,12466.18,1123.60,1123.56,1123.51,1123.54,22081.78,22229.35,22006.63,21904.34,21874.98,21843.10,6992.55,7009.77,7009.94,7033.85,7036.77,7016.74,1123.58,1123.55,1123.52,1123.55,28851.64,28747.13,28373.61,21565.76,21634.54,21667.91,207006.42,192076.31,209517.50,15296.28,15233.74,15277.71,1123.62,1123.55,39.57,29.62
2022-05-25T10:05:49.566623Z,1123.48,1123.51,157528.50,157822.67,166669.44,917252.38,952737.94,963909.69,217113.17,203729.56,218614.64,131591.97,125495.59,125563.04,1123.58,1123.55,-8569361.00,5465341.50,6510058.00,6854467.00,5651926.00,18939.66,19026.33,19172.92,43767.43,43887.59,43935.68,13590.22,13654.05,13590.83,1123.58,1123.53,1123.49,1123.52,25138.48,25337.90,25021.36,24919.88,24874.98,24873.57,7008.85,7017.35,7019.10,7040.55,7044.58,7027.44,1123.60,1123.52,1123.53,1123.53,30261.79,30158.37,29727.06,22683.80,22789.77,22779.47,216572.66,218130.47,220679.11,15942.48,15914.87,15956.69,1123.59,1123.55,39.79,29.55
2022-05-25T10:05:51.773019Z,1123.48,1123.52,158730.81,159628.05,151187.16,928253.06,1060096.87,978710.12,218066.61,203579.91,218871.58,131708.33,126911.02,127040.91,1123.59,1123.53,1682638.75,5087454.50,8005321.00,5860331.00,6192163.50,19198.51,19160.78,19280.22,44007.11,44210.66,44230.53,13678.99,13626.25,13682.80,1123.58,1123.54,1123.51,1123.55,25434.50,25231.70,25314.24,25235.44,25183.80,25152.08,7002.99,7019.11,7035.80,7042.96,7045.45,7045.11,1123.60,1123.55,1123.52,1123.55,30394.38,30319.44,30211.33,22793.78,23027.57,22897.34,218190.38,219637.98,220581.09,15836.80,15977.36,16121.81,1123.60,1123.57,39.95,29.54
2022-05-25T10:05:54.064811Z,1123.47,1123.51,160544.16,161771.14,161149.88,932683.81,780183.87,965080.31,221063.91,220581.09,219747.33,122229.79,128056.64,135044.28,1123.59,1123.53,4539185.50,5580482.50,1860147.62,5974894.00,18005952.00,19344.56,19314.13,19297.90,44349.45,45218.86,44552.36,13788.02,13790.48,13788.61,1123.58,1123.54,1123.49,1123.54,25707.55,25642.69,25603.36,25718.72,25471.03,25431.24,7021.03,7015.41,7000.21,7043.46,7052.18,7046.68,1123.60,1123.54,1123.52,1123.54,30563.95,30492.16,30382.66,22880.21,22738.21,23003.62,224660.22,220719.98,222400.50,15979.29,16021.75,16139.47,1123.61,1123.57,40.11,29.55
2022-05-25T10:05:56.269819Z,1123.48,1123.53,162200.50,163379.08,163320.84,959332.50,698769.75,990338.50,227316.98,220589.27,221199.31,128596.98,129336.74,135404.91,1123.59,1123.54,4966627.00,5668051.00,1779343.12,6125341.50,24032144.00,19522.31,19492.24,19476.48,44770.93,45693.36,44932.75,13907.44,13908.14,13910.27,1123.56,1123.56,1123.51,1123.56,26005.71,25962.66,25905.35,26020.04,25770.84,25731.56,7020.76,7016.39,7000.36,7044.35,7054.14,7046.61,1123.57,1123.57,1123.53,1123.55,30719.72,30626.62,30494.58,22967.52,22835.34,23100.57,225659.86,220736.36,222987.23,16039.56,16093.53,16218.01,1123.60,1123.58,40.15,29.52
2022-05-25T10:05:58.522389Z,1123.48,1123.53,163891.38,165103.88,165507.44,948718.81,700865.25,982987.94,228620.80,222562.47,222620.69,127366.80,131020.46,137351.09,1123.58,1123.55,4931694.50,4863282.00,1747261.50,6125341.50,26313342.00,19686.01,19648.33,19574.68,45026.70,45833.68,45190.54,14007.43,14020.90,14017.54,1123.58,1123.54,1123.49,1123.55,26296.04,26137.29,26181.97,26323.20,26054.21,26016.80,7022.06,7017.65,7000.47,7044.28,7054.70,7046.81,1123.59,1123.53,1123.52,1123.54,30888.78,30824.96,30721.30,23127.42,22990.51,23251.70,225959.36,221965.58,222849.63,16063.33,16147.33,16275.88,1123.61,1123.57,40.19,29.56
2022-05-25T10:06:00.832234Z,1123.48,1123.52,165696.14,167181.50,167181.50,960879.19,700124.13,1003512.13,230870.62,223976.23,223313.14,129920.52,132304.95,138495.64,1123.57,1123.53,4773690.00,4845489.50,1765899.00,6313514.50,17738006.00,19841.42,19813.99,19762.08,45378.75,46215.54,45504.11,14140.10,14146.48,14142.73,1123.59,1123.54,1123.50,1123.54,26582.89,26465.50,26470.68,26592.39,26325.59,26278.10,7022.41,7018.50,7002.01,7045.65,7054.74,7047.75,1123.59,1123.57,1123.56,1123.53,31031.94,30938.31,30820.81,23230.59,23074.14,23329.92,223175.16,222085.53,223338.25,16046.03,16196.16,16312.10,1123.62,1123.55,40.18,29.55
2022-05-25T10:06:03.021584Z,1123.48,1123.50,166569.27,167595.30,168224.61,974708.50,711406.75,998134.00,225608.61,224605.17,223380.11,125242.34,132437.30,138203.31,1123.60,1123.54,5262653.00,5495578.50,1799218.25,6425831.50,9883855.00,19824.22,19773.74,19620.17,45213.36,45996.89,45389.82,14148.28,14151.03,14140.00,1123.58,1123.53,1123.51,1123.54,26664.00,26337.24,26573.69,26663.64,26417.27,26371.44,7022.78,7017.55,7003.03,7046.26,7049.59,7049.15,1123.60,1123.54,1123.51,1123.54,31078.93,31015.37,30897.04,23270.97,23145.01,23408.90,222433.72,222849.63,223942.58,16075.75,16225.62,16338.95,1123.60,1123.54,40.07,29.54
2022-05-25T10:06:05.274880Z,1123.48,1123.53,167139.28,168293.50,168139.17,952129.06,718266.00,1020873.69,227555.69,225895.13,225895.13,131102.62,132310.83,137735.28,1123.59,1123.55,5218874.00,5029496.00,1797590.25,6799725.50,8816513.00,19905.00,19863.38,19845.56,45461.72,46202.63,45663.22,14245.97,14246.94,14246.80,1123.59,1123.54,1123.50,1123.57,26908.44,26834.67,26803.37,26901.20,26654.09,26618.97,7023.37,7017.77,7002.05,7045.42,7050.98,7047.94,1123.57,1123.54,1123.52,1123.54,31131.19,31018.20,30886.21,23313.28,23196.94,23452.36,224001.48,223058.17,224694.11,16215.24,16257.88,16407.37,1123.61,1123.57,39.90,29.52
2022-05-25T10:06:07.567826Z,1123.50,1123.53,168362.44,169538.48,169944.67,949020.94,733019.50,1022186.88,252468.02,225344.12,225557.38,131887.63,132757.47,128412.66,1123.60,1123.54,5083115.50,5078784.00,1991950.87,5559660.00,-4754688.00,20105.05,20050.63,20057.22,46023.73,45372.70,46227.56,14412.11,14401.70,14394.00,1123.59,1123.56,1123.49,1123.56,27165.77,27095.39,27050.63,26696.83,26890.51,27242.68,7023.91,7021.62,7021.56,7046.16,7038.16,7049.04,1123.60,1123.58,1123.53,1123.56,31196.45,31486.47,30981.30,23420.10,23477.35,23515.95,204927.66,223371.72,227573.08,16252.37,16301.29,16334.77,1123.60,1123.58,40.11,29.55
2022-05-25T10:06:09.780308Z,1123.48,1123.52,170209.25,183141.41,171846.34,971847.44,994055.06,1018605.37,208988.44,226901.50,228871.05,132800.38,133146.11,133085.14,1123.58,1123.54,4593411.00,5200657.50,6286874.50,6257173.50,1864220.50,20331.59,20304.76,20271.34,46499.55,46667.55,46762.84,14640.03,14558.77,14558.81,1123.59,1123.56,1123.47,1123.57,27456.34,27344.51,27303.74,27182.83,27161.00,27379.17,7024.41,7021.66,7022.54,7046.21,7028.95,7048.64,1123.59,1123.54,1123.53,1123.55,31238.69,31510.14,31019.65,23468.18,23512.14,23571.47,205812.41,224901.89,228305.47,16286.51,16335.56,16372.96,1123.59,1123.56,40.24,29.55
2022-05-25T10:06:12.041714Z,1123.47,1123.52,171401.45,185032.34,172903.48,972005.94,998970.44,1009888.88,209237.95,227230.30,229558.77,132812.22,133659.84,130579.70,1123.60,1123.53,4879207.50,5549306.50,5364496.00,6198603.50,1828474.12,20546.80,20524.44,20500.25,47050.47,46753.84,47198.52,14780.28,14711.45,14710.79,1123.59,1123.53,1123.47,1123.54,27733.22,27637.59,27579.06,27321.22,27433.94,27647.99,7025.22,7022.34,7022.43,7046.92,7029.55,7050.27,1123.61,1123.56,1123.54,1123.53,31331.68,31571.47,31145.85,23519.39,23569.47,23617.37,205333.69,224102.59,228226.78,16325.44,16366.58,16363.25,1123.61,1123.57,40.23,29.56
2022-05-25T10:06:14.292265Z,1123.46,1123.51,171918.23,185155.95,173580.94,956023.88,993392.38,1009546.69,209488.05,227573.08,230615.98,133372.63,134322.77,127684.78,1123.57,1123.53,5008364.00,6340380.50,5825959.00,7011717.00,1854071.37,20772.75,20755.46,20736.04,47557.93,46871.04,47757.98,14952.82,14884.11,14885.14,1123.60,1123.54,1123.47,1123.56,28000.44,27904.67,27824.95,27430.02,27713.33,27922.41,7024.94,7024.27,7023.60,7047.60,7030.38,7050.52,1123.58,1123.55,1123.54,1123.53,31390.41,31582.95,31132.98,23536.79,23617.83,23675.77,205280.62,225199.36,229232.03,16364.56,16412.71,16349.26,1123.59,1123.55,40.25,29.54
2022-05-25T10:06:16.524950Z,1123.48,1123.54,173674.53,186287.61,175126.75,973912.06,1017648.75,1007839.56,210851.97,229073.41,230888.53,134265.25,135660.80,128556.74,1123.59,1123.52,4841553.50,5309535.50,6172923.00,5549306.50,1890236.00,20954.88,20941.75,20893.72,47875.85,47168.05,48024.88,15077.81,15009.81,15009.66,1123.59,1123.54,1123.49,1123.54,28254.27,28140.04,28075.46,27670.74,27959.46,28143.57,7025.99,7023.81,7023.49,7048.10,7031.80,7050.81,1123.59,1123.53,1123.54,1123.55,31491.89,31702.46,31274.06,23668.90,23712.95,23746.97,207240.41,226759.03,229470.38,16414.10,16460.68,16395.29,1123.61,1123.55,40.30,29.55
2022-05-25T10:06:18.777647Z,1123.48,1123.54,175188.53,189435.33,177228.50,977025.50,1009033.94,1028626.44,211905.47,230041.75,233183.42,134940.30,135872.70,136038.66,1123.58,1123.55,4439441.50,5590952.50,5837371.50,6100263.00,1839478.87,21222.82,21205.27,21177.56,48390.55,48545.18,48604.81,15265.51,15196.34,15196.34,1123.60,1123.54,1123.48,1123.54,28507.75,28394.79,28353.80,28222.98,28200.65,28404.35,7026.25,7024.77,7024.47,7048.59,7031.22,7051.15,1123.60,1123.57,1123.53,1123.53,31534.09,31756.67,31326.48,23679.26,23763.00,23802.55,207283.66,226504.75,230357.44,16442.83,16488.68,16532.81,1123.58,1123.57,40.37,29.55
2022-05-25T10:06:21.025916Z,1123.49,1123.53,176188.27,190309.56,177363.02,985833.44,1013409.19,1039662.00,212555.52,231669.45,233810.14,135489.58,136337.52,135821.59,1123.59,1123.52,4466054.50,5393623.50,6374286.50,6938253.00,1991285.37,21305.97,21490.77,21251.93,48585.78,48853.62,48787.19,15358.81,15292.45,15290.56,1123.58,1123.54,1123.49,1123.53,29140.02,28666.34,28612.45,28506.18,28471.54,28681.33,7026.22,7024.22,7024.27,7048.41,7034.25,7051.66,1123.62,1123.56,1123.53,1123.53,31756.50,31939.93,31503.39,23811.31,23896.52,23953.03,209546.98,231737.03,260383.25,16494.49,16553.69,16586.66,1123.59,1123.56,40.09,29.54
2022-05-25T10:06:23.280249Z,1123.49,1123.51,176981.09,190891.80,178441.23,984612.00,1026854.13,1046048.88,212802.23,231493.95,234537.14,136523.37,136879.36,136967.47,1123.59,1123.54,4568762.50,5040129.00,5956978.00,7385329.00,1873303.00,21498.04,21714.89,21457.44,49116.34,49333.41,49372.88,15479.33,15446.62,15542.87,1123.58,1123.54,1123.49,1123.56,28846.19,28975.04,28895.21,28785.29,28750.46,28410.92,7027.78,7044.53,7024.96,7049.68,7052.65,7052.04,1123.57,1123.56,1123.51,1123.53,31803.92,31359.41,31555.66,24121.80,23928.57,23979.53,226109.42,228073.91,217879.23,16538.47,16588.07,16625.04,1123.61,1123.58,40.09,29.54
2022-05-25T10:06:25.483197Z,1123.49,1123.52,178566.91,167727.39,180571.78,1651629.37,1017475.00,1040660.56,233434.62,232365.06,220352.70,137144.02,138347.72,136121.02,1123.58,1123.55,4663498.50,-5750118.00,5825959.00,6205057.00,6131643.50,21749.19,21535.39,21675.77,49747.79,49880.09,49877.58,15572.38,15622.53,15717.14,1123.58,1123.56,1123.49,1123.55,28983.71,29227.81,29211.10,29074.47,29027.68,28814.84,7027.70,7044.24,7025.22,7050.62,7052.54,7052.59,1123.59,1123.54,1123.53,1123.53,31784.65,31434.68,31575.58,24114.86,23946.34,23962.25,227386.36,229187.97,210576.28,16586.75,16646.24,16669.08,1123.59,1123.56,40.21,29.52
2022-05-25T10:06:30.203651Z,1123.48,1123.52,180840.31,181767.08,182560.67,735961.44,1017909.50,1267251.37,234104.08,233110.44,227238.95,138219.34,146949.52,139071.05,1123.56,1123.53,4958363.00,1831283.37,6020158.50,8803491.00,6306833.50,22163.30,21929.89,22108.66,51567.36,50769.68,50743.30,15925.21,15935.56,15846.61,1123.59,1123.55,1123.50,1123.53,29860.24,29820.14,29420.90,29627.40,29950.99,29561.26,7029.41,7026.49,7026.25,7033.09,7051.95,7053.09,1123.58,1123.54,1123.54,1123.55,32420.85,31910.23,31788.64,24097.09,24147.84,23966.01,228021.55,230513.39,231588.44,16681.73,16620.46,16746.97,1123.58,1123.56,39.97,29.52
